1,Olivia,Victoria,1992-09-28,4.32
2,Ethan,Isaac,1990-03-13,3.19
3,Ava,Eva,1994-01-05,0.85
4,Liam,Caleb,1996-01-10,1.71
5,Sophia,Aurora,1999-02-28,2.7
6,Noah,Dylan,1998-02-20,3.12
7,Mia,Luna,2000-01-31,3.63
8,Jackson,Zachary,1991-10-02,1.82
9,Emma,Sienna,1994-07-28,4.54
10,Lucas,Julian,1995-04-09,1.28
11,Isabella,Maya,2000-10-16,3.15
12,Aiden ,Adam,2000-10-16,1.82
13,Charlotte,Leah,2000-10-16,1.83
14,Caden,Nathan,1994-04-22,3.2
15,Harper,Jade,1991-01-17,3.91
16,Mason,Theo,2000-02-12,3.42
17,Amelia,Lila,1990-06-22,4.89
18,Elijah,Connor,1999-01-30,4.97
19,Abigail,Isla,1997-05-25,1.53
20,Logan,Samuel,1998-02-06,3.58
