82-8772,pzSMNq,NfdxAL,1992-09-28,4.32
81-8976,hWknCP,EGpfuC,1990-03-13,3.19
59-8196,wYRCIH,ExpTgL,1994-01-05,0.85
67-5025,gTFAWy,OUxVcq,1996-01-10,1.71
66-1766,DVLYsf,VVpwIL,1999-02-28,2.70
50-7952,ZiDDlx,SLOOaW,1998-02-20,3.12
52-2476,YQigxr,mIBWZv,2000-01-31,3.63
69-2059,bRaZAu,TFXbkG,1991-10-02,1.82
50-7388,BlhkBD,DSNCPU,1994-07-28,4.54
90-1466,jSpBEx,UDComX,1995-04-09,1.28
97-2777,hviopY,URtrGA,2000-10-16,3.15
82-0965,QYWOOo,wsoTTr,2000-10-16,1.82
98-7361,uYJHtn,QKTmqF,2000-10-16,1.83
48-0835,GGHHLJ,OgEoro,1994-04-22,3.20
94-3987,OOcrJi,lJbQKS,1991-01-17,3.91
47-2285,Fiepto,ffcOqV,2000-02-12,3.42
73-3694,OUojwy,fYGzth,1990-06-22,4.89
53-0662,ENggNR,ZmNsqc,1999-01-30,4.97
89-8284,LODjTw,IjrelG,1997-05-25,1.53
70-7905,cZZoDG,IrHxvj,1998-02-06,3.58
47-7573,kqQULY,PzywFb,1997-03-09,4.05
81-0048,ISJAnb,VZWjhA,1992-10-23,1.00
